timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1682364869213,user0024,user0023,Task Utah,Design L,collaborative,89, false, 80, 80
1682364871567,user0026,user0025,Task Colorado,Design Y,individual,3, false, null, null
1682364872934,user0025,user0026,Task New York,Design M,collaborative,50, false, -55, 50
1682364889811,user0023,user0024,Task New York,Design L,collaborative,2, false, null, null
1682364902280,user0025,user0026,Task Wyoming,Design L,collaborative,50, false, null, null
1682364902304,user0024,user0023,Task Colorado,Design K,collaborative,87, false, 130, 106
1682364905959,user0026,user0025,Task Delaware,Design L,collaborative,54, false, 82, 105
1682364918966,user0026,user0025,Task Nebraska,Design Y,individual,0, false, null, null
1682364922870,user0025,user0026,Task Wisconsin,Design M,collaborative,50, false, -25, 50
1682364927360,user0023,user0024,Task Wyoming,Design K,collaborative,0, false, null, null
1682364942758,user0024,user0023,Task Delaware,Design M,collaborative,74, false, 106, 130
1682364967384,user0023,user0024,Task Wisconsin,Design K,collaborative,19, false, null, null
1682364973342,user0025,user0026,Task Illinois,Design K,collaborative,71, false, null, null
1682364978357,user0026,user0025,Task Virginia,Design Y,individual,15, false, 50, -16
1682364983088,user0024,user0023,Task Nebraska,Design K,collaborative,31, false, 100, 114
1682364994639,user0023,user0024,Task Illinois,Design M,collaborative,10, false, null, null
1682365003670,user0026,user0025,Task Illinois,Design Y,individual,17, false, null, null
1682365009511,user0024,user0023,Task Virginia,Design L,collaborative,94, false, 130, 100
1682365010578,user0025,user0026,Task Virginia,Design M,collaborative,65, false, -33, 50
1682365034714,user0025,user0026,Task  Mississippi,Design Y,individual,68, false, null, null
1682365043040,user0026,user0025,Task  Mississippi,Design Y,individual,1, false, 14, 14
1682365043915,user0024,user0023,Task Illinois,Design M,collaborative,92, false, null, null
1682365053543,user0023,user0024,Task Virginia,Design L,collaborative,0, false, 130, 100
1682365080336,user0026,user0025,Task Kansas,Design Y,individual,0, false, null, null
1682365081276,user0023,user0024,Task  Mississippi,Design K,collaborative,0, false, null, null
1682365082733,user0025,user0026,Task Michigan,Design Y,individual,75, false, 50, 50
1682365086380,user0024,user0023,Task  Mississippi,Design K,collaborative,82, false, 55, 55
1682365101074,user0026,user0025,Task Nevada,Design Y,individual,0, false, null, null
1682365111063,user0023,user0024,Task Michigan,Design L,collaborative,30, false, null, null
1682365115924,user0024,user0023,Task Kansas,Design L,collaborative,50, false, 122, 106
1682365119776,user0025,user0026,Task Minnesota,Design K,collaborative,80, false, -40, 50
1682365137621,user0023,user0024,Task Minnesota,Design L,collaborative,8, false, null, null
1682365140753,user0026,user0025,Task Minnesota,Design Y,individual,0, false, null, null
1682365154219,user0025,user0026,Task Nevada,Design L,collaborative,54, false, -80, 50
1682365154353,user0024,user0023,Task Nevada,Design K,collaborative,43, false, 130, 100
1682365169006,user0023,user0024,Task Nevada,Design K,collaborative,6, false, null, null
1682365174511,user0026,user0025,Task New Jersey,Design Y,individual,50, false, null, null
1682365184956,user0025,user0026,Task Oregon,Design Y,individual,56, false, 50, 50
1682365192717,user0024,user0023,Task Minnesota,Design K,collaborative,39, false, 72, 130
1682365203924,user0023,user0024,Task Oregon,Design M,collaborative,25, false, null, null
1682365217933,user0024,user0023,Task New Jersey,Design L,collaborative,42, false, 122, 100
1682365221851,user0025,user0026,Task Pennsylvania,Design K,collaborative,74, false, null, null
1682365225340,user0026,user0025,Task Washington,Design K,collaborative,74, false, 96, 96
1682365235878,user0023,user0024,Task Pennsylvania,Design M,collaborative,11, false, null, null
1682365253395,user0024,user0023,Task Washington,Design M,collaborative,44, false, 122, 122
1682365259575,user0026,user0025,Task Idoha,Design M,collaborative,0, false, null, null
1682365260010,user0025,user0026,Task Idoha,Design Y,individual,73, false, 115, 15
1682365280156,user0026,user0025,Task Wisconsin,Design Y,individual,14, false, null, null
1682365291135,user0023,user0024,Task Idoha,Design M,collaborative,25, false, null, null
1682365295124,user0024,user0023,Task Idoha,Design L,collaborative,54, false, 85, 95
1682365295528,user0025,user0026,Task Nebraska,Design Y,individual,71, false, 50, 50
1682365311447,user0026,user0025,Task Michigan,Design Y,individual,1, false, null, null
1682365320775,user0023,user0024,Task Nebraska,Design L,collaborative,10, false, null, null
1682365321793,user0025,user0026,Task Kansas,Design Y,individual,73, false, 50, 50
1682365325511,user0024,user0023,Task Wisconsin,Design K,collaborative,82, false, 114, 114
1682365337650,user0026,user0025,Task Alabama,Design Y,individual,0, false, null, null
1682365338544,user0023,user0024,Task Kansas,Design L,collaborative,0, false, null, null
1682365348552,user0025,user0026,Task Louisiana,Design L,collaborative,50, false, -28, 50
1682365353396,user0024,user0023,Task Michigan,Design L,collaborative,31, false, 106, 122
1682365364401,user0023,user0024,Task Louisiana,Design L,collaborative,2, false, null, null
1682365368420,user0026,user0025,Task Kentucky,Design Y,individual,3, false, null, null
1682365383433,user0024,user0023,Task Alabama,Design M,collaborative,34, false, 115, 114
1682365404722,user0025,user0026,Task Ohio,Design Y,individual,56, false, 50, 50
1682365416992,user0023,user0024,Task Ohio,Design M,collaborative,1, false, null, null
1682365427695,user0026,user0025,Task Michigan,Design Y,individual,11, false, null, null
1682365431421,user0025,user0026,Task Massachusetts,Design K,collaborative,66, false, 10, 50
1682365438411,user0024,user0023,Task Kentucky,Design L,collaborative,35, false, 100, 122
1682365453326,user0023,user0024,Task Massachusetts,Design L,collaborative,0, false, null, null
1682365459656,user0026,user0025,Task Arizona,Design Y,individual,70, false, null, null
1682365468148,user0025,user0026,Task Maine,Design K,collaborative,60, false, -270, 50
1682365474987,user0024,user0023,Task Michigan,Design Y,individual,38, false, 50, 0
1682365496348,user0026,user0025,Task Hawaii,Design L,collaborative,96, false, null, null
1682365498830,user0023,user0024,Task Maine,Design K,collaborative,35, false, null, null
1682365505663,user0025,user0026,Task California,Design Y,individual,67, false, 50, -25
1682365512421,user0024,user0023,Task Arizona,Design L,collaborative,59, false, 100, 106
1682365522488,user0023,user0024,Task California,Design K,collaborative,0, false, null, null
1682365529168,user0024,user0023,Task Hawaii,Design L,collaborative,79, false, 100, 122
1682365536157,user0025,user0026,Task Washington,Design M,collaborative,68, false, null, null
1682365538128,user0026,user0025,Task Pennsylvania,Design Y,individual,3, false, 50, -60
